city_nm,ksh_cd,city_type_cd,county_nm,district_cd,district_nm,district_seat_nm,area_no,population_no,apartments_no,country_cd,longitude_no,latitude_no
Baj,29212,község,Komárom-Esztergom,114 0,Tatai,Tata,"2,112",2892,1672,HU,18.365833,47.649167
Baja,3522,megyei jogú város,Bács-Kiskun,035 1,Bajai,Baja,"17,789",32759,17296,HU,18.961167,46.186667
Bajánsenye,17020,község,Vas,177 0,Körmendi,Körmend,"2,185",472,244,HU,16.385833,46.801667
Bajna,16744,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,"3,726",1833,782,HU,18.593667,47.649167
Bajót,29355,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,"1,643",1617,551,HU,18.5535,47.723167
Bak,4738,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,"2,305",1515,579,HU,16.846,46.731167
Bakháza,14395,község,Somogy,145 0,Nagyatádi,Nagyatád,592,160,80,HU,17.36,46.106167
Bakóca,22275,község,Baranya,025 0,Hegyháti,Sásd,"1,065",262,134,HU,17.994667,46.207
Bakonszeg,15167,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,"3,503",1082,596,HU,21.444333,47.189167
Bakonya,8299,község,Baranya,028 0,Pécsi,Pécs,"1,507",342,138,HU,18.083667,46.085667
Bakonybánk,24244,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,"1,506",380,202,HU,17.903833,47.4645
Bakonybél,23746,község,Veszprém,192 0,Zirci,Zirc,"2,436",1108,571,HU,17.729333,47.252833
Bakonycsernye,8730,nagyközség,Fejér,082 0,Móri,Mór,"3,813",2946,1213,HU,18.0945,47.323167
Bakonygyirót,28936,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,685,160,112,HU,17.803667,47.417667
Bakonyjákó,29513,község,Veszprém,187 0,Pápai,Pápa,"4,716",665,280,HU,17.603333,47.227
Bakonykoppány,7287,község,Veszprém,187 0,Pápai,Pápa,683,175,117,HU,17.687167,47.3305
Bakonykúti,23153,község,Fejér,085 0,Székesfehérvári,Székesfehérvár,"1,245",154,90,HU,18.197333,47.246333
Bakonynána,25991,község,Veszprém,192 0,Zirci,Zirc,"1,493",916,368,HU,17.9735,47.278
Bakonyoszlop,30410,község,Veszprém,192 0,Zirci,Zirc,"1,420",439,208,HU,17.924333,47.345
Bakonypéterd,22062,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,"1,002",287,129,HU,17.797167,47.465167
Bakonypölöske,6327,község,Veszprém,187 0,Pápai,Pápa,"1,104",390,160,HU,17.490333,47.209167
Bakonyság,29902,község,Veszprém,187 0,Pápai,Pápa,857,55,56,HU,17.650833,47.4
Bakonysárkány,25229,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,"1,412",949,390,HU,18.1035,47.447833
Bakonyszentiván,23922,község,Veszprém,187 0,Pápai,Pápa,914,215,99,HU,17.6695,47.389833
Bakonyszentkirály,22813,község,Veszprém,192 0,Zirci,Zirc,"2,790",772,384,HU,17.8815,47.363333
Bakonyszentlászló,5944,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,"3,851",1583,775,HU,17.800833,47.388833
Bakonyszombathely,22381,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,"3,652",1292,602,HU,17.961833,47.4715
Bakonyszücs,26417,község,Veszprém,187 0,Pápai,Pápa,"3,520",255,149,HU,17.682667,47.3435
Bakonytamási,24129,község,Veszprém,187 0,Pápai,Pápa,"2,049",565,287,HU,17.732,47.410833
Baks,29106,község,Csongrád-Csanád,072 0,Kisteleki,Kistelek,"6,192",1893,870,HU,20.109,46.551667
Baksa,3975,község,Baranya,030 0,Sellyei,Sellye,"1,382",781,282,HU,18.092333,45.9565
Baktakék,18184,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,"1,879",790,267,HU,21.0325,48.374833
Baktalórántháza,2325,város,Szabolcs-Szatmár-Bereg,148 1,Baktalórántházai,Baktalórántháza,"3,524",3554,1127,HU,22.084167,47.9995
Baktüttös,15097,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,971,330,142,HU,16.817333,46.699333
Balajt,22521,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,903,508,143,HU,20.785167,48.320667
Balassagyarmat,13657,város,Nógrád,116 1,Balassagyarmati,Balassagyarmat,"2,333",13917,6747,HU,19.296167,48.074667
Balástya,23676,község,Csongrád-Csanád,072 0,Kisteleki,Kistelek,"11,000",3233,1817,HU,20.010167,46.422833
Balaton,11527,község,Heves,103 0,Bélapátfalvai,Bélapátfalva,"1,320",922,439,HU,20.305333,48.094333
Balatonakali,25308,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,"3,620",686,549,HU,17.758167,46.883
Balatonakarattya,34421,község,Veszprém,184 0,Balatonalmádi,Balatonalmádi,"2,139",1128,569,HU,,
Balatonalmádi,5838,város,Veszprém,184 1,Balatonalmádi,Balatonalmádi,"4,988",10000,5068,HU,18.012,47.031167
Balatonberény,27377,község,Somogy,144 0,Marcali,Marcali,"2,609",1187,890,HU,17.323167,46.710667
Balatonboglár,33853,város,Somogy,142 0,Fonyódi,Fonyód,"3,204",5390,3036,HU,17.6605,46.773833
Balatoncsicsó,3072,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,"1,318",297,109,HU,17.669667,46.927667
Balatonederics,12238,község,Veszprém,189 0,Tapolcai,Tapolca,"1,858",1040,518,HU,17.3815,46.806
Balatonendréd,19460,község,Somogy,146 0,Siófoki,Siófok,"4,002",1318,612,HU,17.9745,46.839
Balatonfenyves,20729,község,Somogy,142 0,Fonyódi,Fonyód,"5,193",2019,1351,HU,17.478333,46.7115
Balatonfőkajár,29461,község,Veszprém,184 0,Balatonalmádi,Balatonalmádi,"2,192",1312,620,HU,18.213333,47.020667
Balatonföldvár,7117,város,Somogy,146 0,Siófoki,Siófok,"1,533",2251,1408,HU,17.881,46.852167
Balatonfüred,21175,város,Veszprém,185 1,Balatonfüredi,Balatonfüred,"4,645",12925,7086,HU,17.887333,46.958
Balatonfűzfő,2219,város,Veszprém,184 0,Balatonalmádi,Balatonalmádi,925,4537,2150,HU,18.0385,47.0675
Balatongyörök,17002,község,Zala,193 0,Keszthelyi,Keszthely,"3,759",1283,684,HU,17.357,46.7615
Balatonhenye,3638,község,Veszprém,189 0,Tapolcai,Tapolca,"1,173",125,55,HU,17.6165,46.912667
Balatonkenese,5148,város,Veszprém,184 0,Balatonalmádi,Balatonalmádi,"4,418",2559,1437,HU,18.1095,47.0365
Balatonkeresztúr,7375,község,Somogy,144 0,Marcali,Marcali,"2,106",1645,867,HU,17.376667,46.7005
Balatonlelle,33862,város,Somogy,142 0,Fonyódi,Fonyód,"4,323",4904,3356,HU,17.701667,46.782
Balatonmagyaród,26462,község,Zala,196 0,Nagykanizsai,Nagykanizsa,"3,153",389,256,HU,17.177667,46.595167
Balatonmáriafürdő,14562,község,Somogy,144 0,Marcali,Marcali,"2,677",835,476,HU,17.404,46.703167
Balatonőszöd,11916,község,Somogy,146 0,Siófoki,Siófok,"1,508",592,586,HU,17.801,46.807833
Balatonrendes,33844,község,Veszprém,189 0,Tapolcai,Tapolca,675,180,104,HU,17.582667,46.8275
Balatonszabadi,16601,község,Somogy,146 0,Siófoki,Siófok,"4,134",2900,1238,HU,18.133167,46.8915
Balatonszárszó,24907,nagyközség,Somogy,146 0,Siófoki,Siófok,"3,012",2041,1056,HU,17.835167,46.829333
Balatonszemes,22822,község,Somogy,146 0,Siófoki,Siófok,"3,602",1663,985,HU,17.776167,46.808333
Balatonszentgyörgy,21324,község,Somogy,144 0,Marcali,Marcali,"2,368",1446,733,HU,17.302,46.691
Balatonszepezd,17154,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,"2,505",450,262,HU,17.663,46.854333
Balatonszőlős,28501,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,"1,282",648,254,HU,17.827167,46.966
Balatonudvari,15565,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,"1,879",348,215,HU,17.8025,46.901333
Balatonújlak,16470,község,Somogy,144 0,Marcali,Marcali,"1,081",450,263,HU,17.386167,46.674167
Balatonvilágos,3559,község,Somogy,146 0,Siófoki,Siófok,"2,921",1342,844,HU,18.166333,46.974667
Balinka,31103,község,Fejér,082 0,Móri,Mór,"1,862",887,385,HU,18.192333,47.313167
Balkány,26958,város,Szabolcs-Szatmár-Bereg,155 0,Nagykállói,Nagykálló,"9,001",5840,2368,HU,21.858167,47.77
Ballószög,13408,község,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,"3,500",4304,1463,HU,19.408333,47.034167
